Time,level,is_pump_on,is_upper_sensor_active,is_lower_sensor_active,is_overflowing,is_empty
2026-02-11 00:35:56.123998,32.5,True,False,True,False,False
2026-02-11 00:35:56.624627,35.0,True,False,True,False,False
2026-02-11 00:35:57.125037,37.5,True,False,True,False,False
2026-02-11 00:35:57.625482,40.0,True,False,True,False,False
2026-02-11 00:35:58.126048,42.5,True,False,True,False,False
2026-02-11 00:35:58.626567,45.0,True,False,True,False,False
2026-02-11 00:35:59.127253,47.5,True,False,True,False,False
2026-02-11 00:35:59.627881,50.0,True,False,True,False,False
2026-02-11 00:36:00.128319,52.5,True,False,True,False,False
2026-02-11 00:36:00.628953,55.0,True,False,True,False,False
2026-02-11 00:36:01.129479,57.5,True,False,True,False,False
2026-02-11 00:36:01.630040,60.0,True,False,True,False,False
2026-02-11 00:36:02.130513,62.5,True,False,True,False,False
2026-02-11 00:36:02.630918,65.0,True,False,True,False,False
2026-02-11 00:36:03.131486,67.5,True,False,True,False,False
2026-02-11 00:36:03.632188,70.0,True,False,True,False,False
2026-02-11 00:36:04.132668,72.5,True,False,True,False,False
2026-02-11 00:36:04.633337,75.0,True,True,True,False,False
2026-02-11 00:36:05.133931,72.5,False,False,True,False,False
2026-02-11 00:36:05.634471,70.0,False,False,True,False,False
2026-02-11 00:36:06.134998,67.5,False,False,True,False,False
2026-02-11 00:36:06.635697,65.0,False,False,True,False,False
2026-02-11 00:36:07.136245,62.5,False,False,True,False,False
2026-02-11 00:36:07.636658,60.0,False,False,True,False,False
2026-02-11 00:36:08.137225,57.5,False,False,True,False,False
2026-02-11 00:36:08.637731,55.0,False,False,True,False,False
2026-02-11 00:36:09.138465,52.5,False,False,True,False,False
2026-02-11 00:36:09.639412,50.0,False,False,True,False,False
2026-02-11 00:36:10.139942,47.5,False,False,True,False,False
2026-02-11 00:36:10.640585,45.0,False,False,True,False,False
2026-02-11 00:36:11.141136,42.5,False,False,True,False,False
